Supplier Type,Supplier Name,Vlookup1,Vlookup2,DGS Certification,Supplier ID,Supplier #,PO ID,PO #,PO Date,Ln-Sch-Dst,Line Descr,NIGP,O/I,Category,Goods (Amt),Services (Amt),Construction (Amt),IT (Amt),
,"ADDIUM, INC.",,,LRG,46054,0,2000027259,0,9/21/23,02 01 01,Shipping and Handling,96200,,SERVICES,$0.00,$48.26,$0.00,$0.00,
,"ADDIUM, INC.",,,LRG,46054,0,2000027259,0,9/21/23,02 01 01,Shipping and Handling,96200,,SERVICES,$0.00,-$3.26,$0.00,$0.00,
DVB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",DVBE,20001,1,2000024365,1,8/18/22,01 01 01,Annual Inspection of Medical/Clinical In,93800,,SERVICES,$0.00,-$252.00,$0.00,$0.00,
DVB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",DVBE,20001,0,2000024365,0,8/18/22,02 01 01,Annual Inspection of Lab Medical Instruc,93800,,SERVICES,$0.00,-$576.00,$0.00,$0.00,
OSB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",DVBE,20001,0,2000024365,0,8/18/22,01 01 01,Annual Inspection of Medical/Clinical In,93800,,SERVICES,$0.00,-$252.00,$0.00,$0.00,
OSB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",DVBE,20001,0,2000024365,0,8/18/22,02 01 01,Annual Inspection of Lab Medical Instruc,93800,,SERVICES,$0.00,-$576.00,$0.00,$0.00,
DVB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",SB,20001,0,2000024365,0,8/18/22,01 01 01,Annual Inspection of Medical/Clinical In,93800,,SERVICES,$0.00,-$252.00,$0.00,$0.00,
DVB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",SB,20001,0,2000024365,0,8/18/22,02 01 01,Annual Inspection of Lab Medical Instruc,93800,,SERVICES,$0.00,-$576.00,$0.00,$0.00,
OSB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",MB,20001,0,2000024365,0,8/18/22,01 01 01,Annual Inspection of Medical/Clinical In,93800,,SERVICES,$0.00,-$252.00,$0.00,$0.00,
OSB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",MB,20001,0,2000024365,0,8/18/22,02 01 01,Annual Inspection of Lab Medical Instruc,93800,,SERVICES,$0.00,-$576.00,$0.00,$0.00,
DVB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",DVBE,20001,0,2000027032,1,8/21/23,01 01 01,Annual Inspection of Medical/clinical In,93800,,SERVICES,$0.00,"$3,168.00",$0.00,$0.00,
DVB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",DVBE,20001,0,2000027032,0,8/21/23,01 01 01,Annual Inspection of Medical/clinical In,93800,,SERVICES,$0.00,"$3,124.00",$0.00,$0.00,
DVB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",DVBE,20001,0,2000027032,0,8/21/23,02 01 01,Annual Inspection Of Lab Instruments,93800,,SERVICES,$0.00,$660.00,$0.00,$0.00,
DVB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",DVBE,20001,0,2000027032,0,8/21/23,03 01 01,Travel Time,93800,,SERVICES,$0.00,$95.00,$0.00,$0.00,
DVB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",DVBE,20001,0,2000027032,0,8/21/23,03 01 01,Travel Time,93800,,SERVICES,$0.00,$380.00,$0.00,$0.00,
OSB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",DVBE,20001,0,2000027032,0,8/21/23,01 01 01,Annual Inspection of Medical/clinical In,93800,,SERVICES,$0.00,"$3,168.00",$0.00,$0.00,
OSB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",DVBE,20001,0,2000027032,0,8/21/23,01 01 01,Annual Inspection of Medical/clinical In,93800,,SERVICES,$0.00,"$3,124.00",$0.00,$0.00,
OSB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",DVBE,20001,0,2000027032,0,8/21/23,02 01 01,Annual Inspection Of Lab Instruments,93800,,SERVICES,$0.00,$660.00,$0.00,$0.00,
OSB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",DVBE,20001,0,2000027032,0,8/21/23,03 01 01,Travel Time,93800,,SERVICES,$0.00,$95.00,$0.00,$0.00,
OSB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",DVBE,20001,0,2000027032,0,8/21/23,03 01 01,Travel Time,93800,,SERVICES,$0.00,$380.00,$0.00,$0.00,
DVB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",SB,20001,0,2000027032,0,8/21/23,01 01 01,Annual Inspection of Medical/clinical In,93800,,SERVICES,$0.00,"$3,168.00",$0.00,$0.00,
DVB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",SB,20001,0,2000027032,0,8/21/23,01 01 01,Annual Inspection of Medical/clinical In,93800,,SERVICES,$0.00,"$3,124.00",$0.00,$0.00,
DVB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",SB,20001,0,2000027032,0,8/21/23,02 01 01,Annual Inspection Of Lab Instruments,93800,,SERVICES,$0.00,$660.00,$0.00,$0.00,
DVB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",SB,20001,0,2000027032,0,8/21/23,03 01 01,Travel Time,93800,,SERVICES,$0.00,$95.00,$0.00,$0.00,
DVB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",SB,20001,0,2000027032,0,8/21/23,03 01 01,Travel Time,93800,,SERVICES,$0.00,$380.00,$0.00,$0.00,
OSB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",MB,20001,0,2000027032,0,8/21/23,01 01 01,Annual Inspection of Medical/clinical In,93800,,SERVICES,$0.00,"$3,168.00",$0.00,$0.00,
OSB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",MB,20001,0,2000027032,0,8/21/23,01 01 01,Annual Inspection of Medical/clinical In,93800,,SERVICES,$0.00,"$3,124.00",$0.00,$0.00,
OSB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",MB,20001,0,2000027032,0,8/21/23,02 01 01,Annual Inspection Of Lab Instruments,93800,,SERVICES,$0.00,$660.00,$0.00,$0.00,
OSB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",MB,20001,0,2000027032,0,8/21/23,03 01 01,Travel Time,93800,,SERVICES,$0.00,$95.00,$0.00,$0.00,
OSB,ADVANCED BIOMEDICAL,ADVANCED BIOMEDICAL REPAIR,"DVBE,SB(Micro)",MB,20001,0,2000027032,0,8/21/23,03 01 01,Travel Time,93800,,SERVICES,$0.00,$380.00,$0.00,$0.00,
,AEROCRAFTED LLC-WTHD,,,LRG,53694,1,2000022484,1,10/20/21,03 01 01,"Hangar Rental Lease site ""Q"" #38 from Ju",98100,,SERVICES,$0.00,"-$10,000.00",$0.00,$0.00,
,AEROCRAFTED LLC-WTHD,,,LRG,53694,0,2000022484,0,10/20/21,04 01 01,Internet Service,96200,,SERVICES,$0.00,"-$3,000.00",$0.00,$0.00,
,AEROCRAFTED LLC-WTHD,,,LRG,53694,0,2000022484,0,10/20/21,05 01 01,"Hangar Rental Lease site ""Q"" #38 from Ju",98100,,SERVICES,$0.00,"$10,000.00",$0.00,$0.00,
,AEROCRAFTED LLC-WTHD,,,LRG,53694,0,2000022484,0,10/20/21,06 01 01,Internet Service,96200,,SERVICES,$0.00,"$3,000.00",$0.00,$0.00,
,AET SERVICES INC DBA ORKI,,,LRG,46193,1,2000015272,1,12/3/18,13 01 01,University Housing Pest Control Services,96200,,SERVICES,$0.00,"$40,559.92",$0.00,$0.00,
,AET SERVICES INC DBA ORKI,,,LRG,46193,0,2000015272,0,12/3/18,15 01 01,Termite Treatment CV Romualdo 705 Living,96200,,SERVICES,$0.00,$275.00,$0.00,$0.00,
,AET SERVICES INC DBA ORKI,,,LRG,46193,0,2000015272,0,12/3/18,16 01 01,Monthly pest control for three (3) extra,96200,,SERVICES,$0.00,"$10,834.98",$0.00,$0.00,
CAL/LOC,AGGSONS PAINT & GLASS,,,LRG,304,1,2000026765,1,7/19/23,01 01 01,2 windows @ 24'x42' 2 windows @ 24'x62 1,96200,,SERVICES,$0.00,"$5,546.97",$0.00,$0.00,
CAL/LOC,AGGSONS PAINT & GLASS,,,LRG,304,0,2000026765,0,7/19/23,02 01 01,Labor for installation of windows,96200,,SERVICES,$0.00,"$3,500.00",$0.00,$0.00,
CAL/LOC,AGGSONS PAINT & GLASS,,,LRG,304,0,2000027746,1,11/27/23,01 01 01,"18"" x 52"" Replacement Insulated Glass Un",96200,,SERVICES,$0.00,$557.70,$0.00,$0.00,
CAL/LOC,AGGSONS PAINT & GLASS,,,LRG,304,0,2000027746,0,11/27/23,02 01 01,Labor,96200,,SERVICES,$0.00,$450.00,$0.00,$0.00,
,"AGILE HUMANITIES AGENCY,",,,LRG,54398,1,2000027469,1,10/16/23,01 01 01,Project Services/Hosting Contract 2023-2,96200,,SERVICES,$0.00,"$14,760.00",$0.00,$0.00,
,AGILE SPORTS TECHNOLOGIES,,,LRG,33314,1,2000022076,1,8/24/21,04 01 01,Volleymetrics Elite Subscription FY 23-2,57800,,SERVICES,$0.00,"$7,200.00",$0.00,$0.00,
,AGILE SPORTS TECHNOLOGIES,,,LRG,33314,0,2000022076,0,8/24/21,05 01 01,Sport Code Pro Subscription Basketball,57800,,SERVICES,$0.00,"$1,701.00",$0.00,$0.00,
,AGILE SPORTS TECHNOLOGIES,,,LRG,33314,0,2000022747,1,12/2/21,03 01 01,Hudl BVB Year 3 - 7/1/23-6/30/24 - add $,96200,,SERVICES,$0.00,"$7,200.00",$0.00,$0.00,
,AGILE SPORTS TECHNOLOGIES,,,LRG,33314,0,2000026778,1,7/18/23,01 01 01,FY 23-24 SportsCode Pro,96200,,SERVICES,$0.00,"$3,969.00",$0.00,$0.00,
,AGILE SPORTS TECHNOLOGIES,,,LRG,33314,0,2000026778,0,7/18/23,02 01 01,FY 23-24 SportsCode Pro Review,96200,,SERVICES,$0.00,"$6,804.00",$0.00,$0.00,
,AHW LLC-WTHD,,,LRG,57218,1,2000027479,1,10/19/23,01 01 01,Guest Speaker,96200,,SERVICES,$0.00,"$1,500.00",$0.00,$0.00,
NA,"AIRGAS USA, LLC",,,LRG,11739,1,2000027304,1,9/21/23,01 01 01,Air gas service for Athletics Marketing,96200,,SERVICES,$0.00,"$3,217.50",$0.00,$0.00,
NA,"AIRGAS USA, LLC",,,LRG,11739,0,2000027800,1,1/3/24,01 01 01,"BuildPro Alpha 5/8 Welding Table (72"" X",54500,,SERVICES,$0.00,"$2,596.53",$0.00,$0.00,
NA,"AIRGAS USA, LLC",,,LRG,11739,0,2000027800,0,1/3/24,01 01 02,"BuildPro Alpha 5/8 Welding Table (72"" X",54500,,SERVICES,$0.00,"$2,596.52",$0.00,$0.00,
NA,"AIRGAS USA, LLC",,,LRG,11739,0,2000027800,0,1/3/24,02 01 01,"BuildPro Alpha 5/8 Welding Table (72"" X",54500,,SERVICES,$0.00,"$2,951.25",$0.00,$0.00,
NA,"AIRGAS USA, LLC",,,LRG,11739,0,2000027800,0,1/3/24,02 01 02,"BuildPro Alpha 5/8 Welding Table (72"" X",54500,,SERVICES,$0.00,"$2,951.25",$0.00,$0.00,
NA,"AIRGAS USA, LLC",,,LRG,11739,0,2000027800,0,1/3/24,03 01 01,BuildPro 5/8 Fixturing Kit 149 piece,54500,,SERVICES,$0.00,"$4,864.86",$0.00,$0.00,
NA,"AIRGAS USA, LLC",,,LRG,11739,0,2000027800,0,1/3/24,03 01 02,BuildPro 5/8 Fixturing Kit 149 piece,54500,,SERVICES,$0.00,"$4,864.86",$0.00,$0.00,
,AKINDI INC,,,LRG,35255,1,2000026687,1,7/12/23,01 01 01,40000 Sheet Akindi License: July 1 2023,96200,,SERVICES,$0.00,"$14,800.00",$0.00,$0.00,
LOC,ALAN R MACMEEKIN DBA ALAN,,,LRG,9929,1,2000025397,1,3/1/23,01 01 01,REPAIR BLINDS IN DEXTER 208209210 (inclu,96200,,SERVICES,$0.00,-$850.00,$0.00,$0.00,
LOC,ALAN R MACMEEKIN DBA ALAN,,,LRG,9929,0,2000026445,1,5/31/23,01 01 01,REPAIR EXISTING WOOD SHUTTERS TO NEW WOR,96200,,SERVICES,$0.00,-$410.00,$0.00,$0.00,
LOC,ALAN R MACMEEKIN DBA ALAN,,,LRG,9929,0,2000026730,1,7/25/23,01 01 01,Window Screens Proposal 18282 dated 4/29,96200,,SERVICES,$0.00,$500.00,$0.00,$0.00,
LOC,ALAN R MACMEEKIN DBA ALAN,,,LRG,9929,0,2000026730,0,7/25/23,02 01 01,Material per proposal 18282 dated 4/29/2,57800,,SERVICES,$0.00,"$7,293.00",$0.00,$0.00,
LOC,ALAN R MACMEEKIN DBA ALAN,,,LRG,9929,0,2000027001,1,8/14/23,01 01 01,Honeycomb Shades - Top Down/Bottom Up Pe,57800,,SERVICES,$0.00,"$6,006.00",$0.00,$0.00,
LOC,ALAN R MACMEEKIN DBA ALAN,,,LRG,9929,0,2000027001,0,8/14/23,02 01 01,Labor To Install Top Down/Bottom Up Shad,57800,,SERVICES,$0.00,$500.00,$0.00,$0.00,
LOC,ALAN R MACMEEKIN DBA ALAN,,,LRG,9929,0,2000027002,1,8/14/23,01 01 01,Adjust and repair existing Mecho Roller,96200,,SERVICES,$0.00,"$1,440.00",$0.00,$0.00,
LOC,ALAN R MACMEEKIN DBA ALAN,,,LRG,9929,0,2000027852,1,12/15/23,01 01 01,(2) Motor and Wall Control,57800,,SERVICES,$0.00,"$2,531.10",$0.00,$0.00,
LOC,ALAN R MACMEEKIN DBA ALAN,,,LRG,9929,0,2000027852,0,12/15/23,02 01 01,Replacement Shade Cloth 6' x 20',57800,,SERVICES,$0.00,"$1,201.20",$0.00,$0.00,
LOC,ALAN R MACMEEKIN DBA ALAN,,,LRG,9929,0,2000028337,1,3/5/24,01 01 01,Replace 2 existing shades with mecho sha,96200,,SERVICES,$0.00,"$1,720.00",$0.00,$0.00,
LOC,ALAN R MACMEEKIN DBA ALAN,,,LRG,9929,0,2000028357,1,3/11/24,01 01 01,Window Blinds,87000,,SERVICES,$0.00,$750.75,$0.00,$0.00,
LOC,ALAN R MACMEEKIN DBA ALAN,,,LRG,9929,0,2000028357,0,3/11/24,02 01 01,Installation,87000,,SERVICES,$0.00,$200.00,$0.00,$0.00,
,"ALCARAZ,IVAN-WTHD",,,LRG,57210,1,2000027494,1,10/23/23,01 01 01,Music Entertainment for CultureFest 10/2,96200,,SERVICES,$0.00,"$1,600.00",$0.00,$0.00,
,"ALEXANDER,BRIAN-WTHD",,,LRG,22271,1,2000025425,1,1/23/23,01 01 01,Academic Year 2023 Piano Tuning,96200,,SERVICES,$0.00,"-$1,525.00",$0.00,$0.00,
,"ALEXANDER,BRIAN-WTHD",,,LRG,22271,0,2000027630,1,11/8/23,01 01 01,Tune and voice Steinway D B in room 45-2,96200,,SERVICES,$0.00,$250.00,$0.00,$0.00,
,"ALEXANDER,BRIAN-WTHD",,,LRG,22271,0,2000027630,0,11/8/23,02 01 01,Fall 2023 Piano Tuning,96200,,SERVICES,$0.00,$250.00,$0.00,$0.00,
,"ALEXANDER,BRIAN-WTHD",,,LRG,22271,0,2000027630,0,11/8/23,02 01 01,Fall 2023 Piano Tuning,96200,,SERVICES,$0.00,-$250.00,$0.00,$0.00,
,"ALIVETEK, INC.",,,LRG,43541,1,2000027942,1,1/24/24,01 01 01,Level 2 Year 1 - 12/1/2023,96200,,SERVICES,$0.00,"$2,250.00",$0.00,$0.00,
,"ALIVETEK, INC.",,,LRG,43541,0,2000027942,0,1/24/24,02 01 01,Hazing Prevention 101 Course College Edi,96200,,SERVICES,$0.00,"$4,500.00",$0.00,$0.00,
,"ALIVETEK, INC.",,,LRG,43541,0,2000027942,0,1/24/24,03 01 01,Fraternity & Sorority Life (Module) Year,96200,,SERVICES,$0.00,$900.00,$0.00,$0.00,
,"ALIVETEK, INC.",,,LRG,43541,0,2000027942,0,1/24/24,04 01 01,Customizations/Technology Add Ons Year 1,96200,,SERVICES,$0.00,$900.00,$0.00,$0.00,
,"ALJARRAH,FATHI-WTHD",,,LRG,40640,1,2000027455,1,10/10/23,01 01 01,Fall 2023 Arab Music Ensemble Concert Gu,96200,,SERVICES,$0.00,$500.00,$0.00,$0.00,
,"ALJARRAH,FATHI-WTHD",,,LRG,40640,0,2000028286,1,2/29/24,01 01 01,Winter 2024 Arab Music Ensemble Concert,96200,,SERVICES,$0.00,$500.00,$0.00,$0.00,
,"ALJARRAH,FATHI-WTHD",,,LRG,40640,0,2000028286,0,2/29/24,02 01 01,Spring 2024 Arab Music Ensemble Concert,96200,,SERVICES,$0.00,$500.00,$0.00,$0.00,
,ALL PRIVATE UTILITY LOCAT,All Private Utility Locating Inc.,SB(Micro),LRG,55304,1,2000027209,1,9/12/23,01 01 01,MJ0086 Chumash Renovation - LINE LOCATIN,96200,,SERVICES,$0.00,"$6,000.00",$0.00,$0.00,
,ALL PRIVATE UTILITY LOCAT,All Private Utility Locating Inc.,SB(Micro),LRG,55304,0,2000027209,0,9/12/23,01 01 01,MJ0086 Chumash Renovation - LINE LOCATIN,96200,,SERVICES,$0.00,"-$1,200.00",$0.00,$0.00,
,ALL PRIVATE UTILITY LOCAT,All Private Utility Locating Inc.,SB(Micro),LRG,55304,0,2000027209,0,9/12/23,02 01 01,Change Order #1 Spanos Concessions Line,96200,,SERVICES,$0.00,"$1,200.00",$0.00,$0.00,
,ALLIANCE TECHNICAL GROUP,,,LRG,53640,1,2000022416,1,11/14/22,03 01 01,Emissions testing of various equipment o,96200,,SERVICES,$0.00,"$40,000.00",$0.00,$0.00,
,"ALMEIDA,DANIEL J-WTHD",,,LRG,39039,1,2000026754,1,7/13/23,01 01 01,Clifton Strengths Workshop,96200,,SERVICES,$0.00,"$3,781.53",$0.00,$0.00,
,"ALMEIDA,DANIEL J-WTHD",,,LRG,39039,0,2000028140,1,2/20/24,01 01 01,RSE staff professional development,96200,,SERVICES,$0.00,"$3,000.00",$0.00,$0.00,
,"ALMEIDA,DANIEL J-WTHD",,,LRG,39039,0,2000028140,0,2/20/24,02 01 01,Clifton Strength Codes,96200,,SERVICES,$0.00,$100.00,$0.00,$0.00,
,"ALNASSAR,ABDULAZIZ T A A",,,LRG,57400,1,2000027787,1,12/11/23,01 01 01,Archival Research ¿Kuwaiti Newspapers Du,96200,,SERVICES,$0.00,"$3,000.00",$0.00,$0.00,
OSB,ALPHA FIRE SPRINKLER CORP,ALPHA FIRE UNLIMITED,SB,SB,1638,1,2000026908,1,8/11/23,01 01 01,MJ0072 Bldg. 070-Fire system design per,96200,,SERVICES,$0.00,"$9,575.00",$0.00,$0.00,
,ALPHA SOURCE LLC,,,LRG,58014,1,2000028258,1,3/14/24,01 01 01,DXA Maintenance Contract,93600,,SERVICES,$0.00,"$1,340.00",$0.00,$0.00,
,ALTAIR ENGINEERING INC.,,,LRG,52907,1,2000028047,1,2/19/24,01 01 01,Altair Units EDU - Multi-Physics / Mecha,92000,,IT,$0.00,$0.00,$0.00,"$4,501.80",
,ALTAIR ENGINEERING INC.,,,LRG,52907,0,2000028047,0,2/19/24,01 01 02,Altair Units EDU - Multi-Physics / Mecha,92000,,IT,$0.00,$0.00,$0.00,"$3,698.20",
,ALVAREZ & MARSAL PUBLIC S,,,LRG,36164,1,2000009326,1,6/17/15,01 01 01,P3 Advisory Services - Professional Fee',91800,,SERVICES,$0.00,-$102.49,$0.00,$0.00,
,ALVAREZ & MARSAL PUBLIC S,,,LRG,36164,0,2000009326,0,6/17/15,02 01 01,Travel Related Expenses for Advisory Ser,91800,,SERVICES,$0.00,"-$14,010.05",$0.00,$0.00,
,AMER ASSN OF STATE COLLEG,,,LRG,3859,1,2000026781,1,7/18/23,01 01 01,AASCU Membership Renewal,96200,,SERVICES,$0.00,"$25,765.00",$0.00,$0.00,
,AMER ASSN OF STATE COLLEG,,,LRG,3859,0,2000026781,0,7/18/23,02 01 01,Millennium Leadership Initiative Renewal,96200,,SERVICES,$0.00,"$3,000.00",$0.00,$0.00,
,AMER COUNCIL ON EDUC,,,LRG,69,1,2000026782,1,7/18/23,01 01 01,2024 ACE Membership Dues - October 2023,96200,,SERVICES,$0.00,"$19,571.00",$0.00,$0.00,
,AMER EXPRESS CO,,,LRG,3661,1,2000018585,1,7/3/19,02 01 01,FY 19-20 HEALTH CTR MERCHANT FEES,94600,,SERVICES,$0.00,-$7.27,$0.00,$0.00,
,AMER EXPRESS CO,,,LRG,3661,0,2000026842,1,7/25/23,01 01 01,FY 23-24 PACHECO POST MERCHANT FEES,94600,,SERVICES,$0.00,$10.00,$0.00,$0.00,
,AMER EXPRESS CO,,,LRG,3661,0,2000026842,0,7/25/23,02 01 01,FY 23-24  NSTP SLO DAYS MERCHANT FEES,94600,,SERVICES,$0.00,"$1,200.00",$0.00,$0.00,
,AMER EXPRESS CO,,,LRG,3661,0,2000026842,0,7/25/23,02 01 01,FY 23-24  NSTP SLO DAYS MERCHANT FEES,94600,,SERVICES,$0.00,"$2,000.00",$0.00,$0.00,
,AMER EXPRESS CO,,,LRG,3661,0,2000026842,0,7/25/23,03 01 01,FY 23-24 NSTP WOW MERCHANT FEES,94600,,SERVICES,$0.00,"$1,200.00",$0.00,$0.00,
,AMER EXPRESS CO,,,LRG,3661,0,2000026842,0,7/25/23,03 01 01,FY 23-24 NSTP WOW MERCHANT FEES,94600,,SERVICES,$0.00,"$2,000.00",$0.00,$0.00,
,AMER EXPRESS CO,,,LRG,3661,0,2000026842,0,7/25/23,04 01 01,FY 23-24 TAPS LUKE,94600,,SERVICES,$0.00,$400.00,$0.00,$0.00,
,AMER EXPRESS CO,,,LRG,3661,0,2000026842,0,7/25/23,05 01 01,FY 23-24 TAPS PARK HUB,94600,,SERVICES,$0.00,$75.00,$0.00,$0.00,
,AMER EXPRESS CO,,,LRG,3661,0,2000026842,0,7/25/23,05 01 01,FY 23-24 TAPS PARK HUB,94600,,SERVICES,$0.00,$150.00,$0.00,$0.00,
,AMER EXPRESS CO,,,LRG,3661,0,2000026842,0,7/25/23,06 01 01,FY 23-24 TAPS INFO/REC,94600,,SERVICES,$0.00,$300.00,$0.00,$0.00,
,AMER EXPRESS CO,,,LRG,3661,0,2000026842,0,7/25/23,06 01 01,FY 23-24 TAPS INFO/REC,94600,,SERVICES,$0.00,$300.00,$0.00,$0.00,
,AMER EXPRESS CO,,,LRG,3661,0,2000026842,0,7/25/23,07 01 01,FY 23-24 Health Center,94600,,SERVICES,$0.00,$50.00,$0.00,$0.00,
,AMER EXPRESS CO,,,LRG,3661,0,2000026842,0,7/25/23,08 01 01,	 FY 23-24  NSTP SLO DAYS MERCHANT FEES,94600,,SERVICES,$0.00,"$1,103.57",$0.00,$0.00,
,AMER EXPRESS CO,,,LRG,3661,0,2000026842,0,7/25/23,09 01 01,	 FY 23-24 NSTP WOW MERCHANT FEES MAY 20,94600,,SERVICES,$0.00,"$1,103.56",$0.00,$0.00,
NON/CAL/LOC,AMER RED CROSS,,,LRG,2224,1,2000022026,1,8/4/21,01 01 01,First Aid/CPR Certificates,96200,,SERVICES,$0.00,"$3,500.00",$0.00,$0.00,
,AMER SOC OF COMPOSERS (AS,,,LRG,498,1,2000027777,1,12/7/23,01 01 01,FY 2023-24 Annual License Fee,96200,,SERVICES,$0.00,"$11,689.39",$0.00,$0.00,
,AMERICAN ASSOC OF STATE C,,,LRG,35500,1,2000024500,1,8/26/22,02 01 01,Onsite Retreat Facilitation Services.,91800,,SERVICES,$0.00,"-$3,000.00",$0.00,$0.00,
,AMERICAN ASSOC OF STATE C,,,LRG,35500,0,2000024500,0,8/26/22,03 01 01,Travel Related Expenses,91800,,SERVICES,$0.00,-$619.34,$0.00,$0.00,
,AMERICAN ASSOC OF STATE C,,,LRG,35500,0,2000024500,0,8/26/22,04 01 01,Follow-ups with A&F Leadership and Senio,91800,,SERVICES,$0.00,-$750.00,$0.00,$0.00,
,AMERICAN ASSOC OF STATE C,,,LRG,35500,0,2000026780,1,7/18/23,01 01 01,Facilitation of annual retreat for Presi,91800,,SERVICES,$0.00,"$12,000.00",$0.00,$0.00,
,AMERICAN ASSOC OF STATE C,,,LRG,35500,0,2000026780,0,7/18/23,02 01 01,Travel expenses as allowable by CSU Trav,91800,,SERVICES,$0.00,"$2,000.00",$0.00,$0.00,
,AMERICAN ASSOC OF STATE C,,,LRG,35500,0,2000027014,1,8/14/23,01 01 01,Consulting services by Dorothy Leland se,91800,,SERVICES,$0.00,"$15,750.00",$0.00,$0.00,
,AMERICAN ASSOC OF STATE C,,,LRG,35500,0,2000027602,1,11/2/23,01 01 01,Travel & Business Expenses,96200,,SERVICES,$0.00,"$5,000.00",$0.00,$0.00,
,AMERICAN ASSOC OF STATE C,,,LRG,35500,0,2000027602,0,11/2/23,02 01 01,Comprehensive Review,96200,,SERVICES,$0.00,"$23,625.00",$0.00,$0.00,
,AMERICAN ASSOC OF STATE C,,,LRG,35500,0,2000027602,0,11/2/23,02 01 01,Comprehensive Review,96200,,SERVICES,$0.00,"$7,875.00",$0.00,$0.00,
,AMERICAN ASSOC OF STATE C,,,LRG,35500,0,2000027602,0,11/2/23,03 01 01,360 Review Assessment,96200,,SERVICES,$0.00,"$3,300.00",$0.00,$0.00,
,AMERICAN ASSOC OF STATE C,,,LRG,35500,0,2000027602,0,11/2/23,03 01 01,360 Review Assessment,96200,,SERVICES,$0.00,"$1,100.00",$0.00,$0.00,
,AMERICAN ASSOC OF STATE C,,,LRG,35500,0,2000027602,0,11/2/23,04 01 01,Executive Coaching,96200,,SERVICES,$0.00,"$28,125.00",$0.00,$0.00,
,AMERICAN ASSOC OF STATE C,,,LRG,35500,0,2000027602,0,11/2/23,04 01 01,Executive Coaching,96200,,SERVICES,$0.00,"$9,375.00",$0.00,$0.00,
,AMERICAN ASSOC OF STATE C,,,LRG,35500,0,2000027602,0,11/2/23,05 01 01,Item Removed,96200,,SERVICES,$0.00,"$18,350.00",$0.00,$0.00,
,AMERICAN ASSOC OF STATE C,,,LRG,35500,0,2000027602,0,11/2/23,05 01 01,Item Removed,96200,,SERVICES,$0.00,"-$18,349.00",$0.00,$0.00,
,AMERICAN COLLEGE HEALTH A,,,LRG,38841,1,2000028349,1,3/15/24,01 01 01,ACHA-NCHA Survey Participant Fees,96200,,SERVICES,$0.00,"$5,500.00",$0.00,$0.00,
,AMERICAN COLLEGE HEALTH A,,,LRG,38841,0,2000028349,0,3/15/24,02 01 01,ACHA-NCHA Extra Custom Questions,96200,,SERVICES,$0.00,"$1,000.00",$0.00,$0.00,
