Report ID:,CSUPO001,SLCMP - Cal Poly San Luis Obispo,Page No :,1,,,,,,,,,,
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,23 01 01,Powerlite L730U Laser Projector,88000,,12.6,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,23 01 01,Powerlite L730U Laser Projector,88000,,"3,828.65",0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,24 01 01,79-2577-01,88000,,28.46,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,24 01 01,79-2577-01,88000,,690.29,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,25 01 01,DTP T DWP 4K 332 D,88000,,226.91,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,25 01 01,DTP T DWP 4K 332 D,88000,,710.59,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,26 01 01,MPA 152 Plus,88000,,473.13,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,26 01 01,MPA 152 Plus,88000,,-185.63,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,27 01 01,PMK 350,88000,,6.61,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,27 01 01,PMK 350,88000,,102.14,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,28 01 01,PS 1210 P,88000,,65,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,29 01 01,SMB 112 White,88000,,1.13,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,29 01 01,SMB 112 White,88000,,140.05,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,30 01 01,TLCA 1,88000,,"4,857.62",0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,30 01 01,TLCA 1,88000,,"-4,720.12",0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,31 01 01,TLP Pro 725T,88000,,308.34,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,31 01 01,TLP Pro 725T,88000,,"1,589.16",0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,32 01 01,SW-DB-2D,88000,,15.72,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,32 01 01,SW-DB-2D,88000,,96.95,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,33 01 01,SW-DB-2GEXT,88000,,20.11,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,33 01 01,SW-DB-2GEXT,88000,,30.16,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,34 01 01,SW-T72-SLT,88000,,12.6,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,34 01 01,SW-T72-SLT,88000,,197.84,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,35 01 01,SW-WF-RCWY-SLT,88000,,37.54,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,35 01 01,SW-WF-RCWY-SLT,88000,,72.53,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,36 01 01,WM-CP-BCK,88000,,72.78,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,36 01 01,WM-CP-BCK,88000,,55.48,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,37 01 01,Item #1PS,88000,,38.21,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,37 01 01,Item #1PS,88000,,-29.55,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,38 01 01,CAT6-Patch,88000,,31.5,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,38 01 01,CAT6-Patch,88000,,19.81,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,39 01 01,CAT6-Patch,88000,,8.64,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,39 01 01,CAT6-Patch,88000,,-0.64,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,40 01 01,RJ45-CBL,88000,,547.32,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,40 01 01,RJ45-CBL,88000,,-546.62,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,41 01 01,SCAT6-Patch,88000,,103.13,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,41 01 01,SCAT6-Patch,88000,,-79.63,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,42 01 01,SPC-16-2-P,88000,,"1,003.33",0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,42 01 01,SPC-16-2-P,88000,,-968.33,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,43 01 01,SRJ45-CBL,88000,,1.8,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,44 01 01,STP6aP,88000,,1.93,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,44 01 01,STP6aP,88000,,86.65,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,45 01 01,UTP6P,88000,,"8,622.42",0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,45 01 01,UTP6P,88000,,"-8,544.90",0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,46 01 01,HCSM Solo Mount,88000,,67.5,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,47 01 01,Solo 8 Plus,88000,,506.63,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,48 01 01,Control 28-1-WHT,88000,,510.32,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,49 01 01,Item #C-MHM/MHM-3,88000,,23.15,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,50 01 01,Item #CMHM/MHM-6,88000,,26.23,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,51 01 01,Item #C-DP-6,88000,,23.83,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026099,11/14/23,52 01 01,5' extension cord power strip,88000,,25.86,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,01 01 01,ATAV Shipping Cost,88000,,510.42,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,02 01 01,All Hardware,88000,,7.86,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,02 01 01,All Hardware,88000,,"8,377.13",0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,03 01 01,EXTRON TLP Pro 1025T,88000,,"2,614.22",0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,03 01 01,EXTRON TLP Pro 1025T,88000,,"-2,614.22",0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,05 01 01,Hovercam Solo 8 Plus,88000,,628.55,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,05 01 01,Hovercam Solo 8 Plus,88000,,-628.55,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,06 01 01,Kramer C-MHM/MHM-15,88000,,48.35,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,06 01 01,Kramer C-MHM/MHM-15,88000,,-48.35,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,07 01 01,VILONG CLAMP POWER,88000,,40.53,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,07 01 01,VILONG CLAMP POWER,88000,,-40.53,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,08 01 01,FSR SW-321STK-1P1D15-SLT,88000,,491.71,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,08 01 01,FSR SW-321STK-1P1D15-SLT,88000,,-491.71,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,09 01 01,FSR SW-DB-2P1D,88000,,128.27,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,09 01 01,FSR SW-DB-2P1D,88000,,-128.27,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,10 01 01,FSR SW-DB-3GEXT,88000,,66.92,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,10 01 01,FSR SW-DB-3GEXT,88000,,-66.92,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,11 01 01,FSR SW-END-SLT,88000,,29.74,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,11 01 01,FSR SW-END-SLT,88000,,-29.74,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,12 01 01,FSR SW-WF-RCWY-SLT,88000,,118.05,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,12 01 01,FSR SW-WF-RCWY-SLT,88000,,-118.05,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,13 01 01,FSR WM-CP-BCK,88000,,137.56,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,13 01 01,FSR WM-CP-BCK,88000,,-137.56,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,14 01 01,GENERIC CAT6-PATCH,88000,,7.86,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,14 01 01,GENERIC CAT6-PATCH,88000,,-7.86,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,16 01 01,GENERIC UTP6P,88000,,8.61,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,16 01 01,GENERIC UTP6P,88000,,-8.61,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,17 01 01,LEVITON 41646-E,88000,,80.07,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,17 01 01,LEVITON 41646-E,88000,,-80.07,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,18 01 01,LEVITON 41646-E,88000,,8.56,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,18 01 01,LEVITON 41646-E,88000,,-8.56,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,19 01 01,MONOPRICE 6 outlet surge protector 15' c,88000,,42.89,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,19 01 01,MONOPRICE 6 outlet surge protector 15' c,88000,,-42.89,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,20 01 01,Commscope 1 Port Faceplate Alpine White,88000,,6.95,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,20 01 01,Commscope 1 Port Faceplate Alpine White,88000,,-6.95,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,21 01 01,Commscope CAT6 Keystone- Alpine White,88000,,10.5,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,21 01 01,Commscope CAT6 Keystone- Alpine White,88000,,-10.5,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,22 01 01,EXTRON DTP T DWP 4K 332 D,88000,,"1,156.88",0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,22 01 01,EXTRON DTP T DWP 4K 332 D,88000,,"-1,156.88",0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,23 01 01,GENERIC SCAT6-PATCH,88000,,12.6,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,23 01 01,GENERIC SCAT6-PATCH,88000,,-12.6,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,24 01 01,GENERIC UTP6P,88000,,28.46,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,24 01 01,GENERIC UTP6P,88000,,-28.46,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,25 01 01,APPLE Apple TV 4K 32GB,88000,,226.91,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,25 01 01,APPLE Apple TV 4K 32GB,88000,,-226.91,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,26 01 01,BroadcastVision AudioFetch Express,88000,,473.13,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,26 01 01,BroadcastVision AudioFetch Express,88000,,-473.13,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,27 01 01,Commscope 2 Port Wall Plate Alpine White,88000,,6.61,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,27 01 01,Commscope 2 Port Wall Plate Alpine White,88000,,-6.61,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,29 01 01,Commscope Blank - 1-1116412-3,88000,,1.13,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,29 01 01,Commscope Blank - 1-1116412-3,88000,,-1.13,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,30 01 01,EPSON PowerLite L730U,88000,,"4,857.62",0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,30 01 01,EPSON PowerLite L730U,88000,,"-4,857.62",0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,31 01 01,EXTRON MPA 152 Plus,88000,,308.34,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,31 01 01,EXTRON MPA 152 Plus,88000,,-308.34,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,32 01 01,GENERIC CAT6-PATCH,88000,,15.72,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,32 01 01,GENERIC CAT6-PATCH,88000,,-15.72,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,33 01 01,GENERIC POWER STRIP,88000,,20.11,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,33 01 01,GENERIC POWER STRIP,88000,,-20.11,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,34 01 01,GENERIC SCAT6-PATCH,88000,,12.6,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,34 01 01,GENERIC SCAT6-PATCH,88000,,-12.6,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,35 01 01,GENERIC SPC-16-2-P,88000,,37.54,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,35 01 01,GENERIC SPC-16-2-P,88000,,-37.54,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,36 01 01,GENERIC STP6aP,88000,,72.78,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,36 01 01,GENERIC STP6aP,88000,,-72.78,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,37 01 01,GENERIC UTP6P,88000,,38.21,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,37 01 01,GENERIC UTP6P,88000,,-38.21,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,38 01 01,GENERIC UTP6P,88000,,31.5,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,38 01 01,GENERIC UTP6P,88000,,-31.5,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,39 01 01,Hosa CMR-203,88000,,8.64,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,39 01 01,Hosa CMR-203,88000,,-8.64,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,40 01 01,Jbl Pro CONTROL 28-1-WH,88000,,547.32,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,40 01 01,Jbl Pro CONTROL 28-1-WH,88000,,-547.32,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,41 01 01,Olympus ME-33 Boundary Microphone,88000,,103.13,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,41 01 01,Olympus ME-33 Boundary Microphone,88000,,-103.13,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,42 01 01,DA-LITE 79884,88000,,"1,003.33",0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,42 01 01,DA-LITE 79884,88000,,"-1,003.33",0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,44 01 01,GENERIC SRJ45-CBL,88000,,1.93,0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,44 01 01,GENERIC SRJ45-CBL,88000,,-1.93,0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,45 01 01,Labor,88000,,"8,622.42",0,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026100,8/31/23,45 01 01,Labor,88000,,"-2,604.40",0,0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,01 01 01,ATAV Shipping Cost,88000,,510.42,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,02 01 01,GENERIC CAT6-PATCH,88000,,7.86,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,03 01 01,EXTRON TLP Pro 1025T,88000,,"2,614.22",0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,05 01 01,Hovercam Solo 8 Plus,88000,,628.55,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,06 01 01,Kramer C-MHM/MHM-15,88000,,48.35,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,07 01 01,VILONG CLAMP POWER,88000,,40.53,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,08 01 01,FSR SW-321STK-1P1D15-SLT,88000,,491.71,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,09 01 01,FSR SW-DB-2P1D,88000,,128.27,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,10 01 01,FSR SW-DB-3GEXT,88000,,66.92,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,11 01 01,FSR SW-END-SLT,88000,,29.74,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,12 01 01,FSR SW-WF-RCWY-SLT,88000,,118.05,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,13 01 01,FSR WM-CP-BCK,88000,,137.56,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,14 01 01,GENERIC CAT6-PATCH,88000,,7.86,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,16 01 01,GENERIC UTP6P,88000,,8.61,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,17 01 01,LEVITON 41646-E,88000,,80.07,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,18 01 01,LEVITON 41646-E,88000,,8.56,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,19 01 01,MONOPRICE 6 outlet surge protector 15' c,88000,,42.89,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,20 01 01,Commscope 1 Port Faceplate Alpine White,88000,,6.95,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,21 01 01,Commscope CAT6 Keystone- Alpine White,88000,,10.5,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,22 01 01,EXTRON DTP T DWP 4K 332 D,88000,,"1,156.88",0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,23 01 01,GENERIC SCAT6-PATCH,88000,,12.6,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,24 01 01,GENERIC UTP6P,88000,,28.46,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,25 01 01,APPLE Apple TV 4K 32GB,88000,,226.91,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,26 01 01,BroadcastVision AudioFetch Express,88000,,473.13,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,27 01 01,Commscope 2 Port Wall Plate Alpine White,88000,,6.61,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,29 01 01,Commscope Blank - 1-1116412-3,88000,,1.13,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,30 01 01,EPSON PowerLite L730U,88000,,"4,857.62",0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,31 01 01,EXTRON MPA 152 Plus,88000,,308.34,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,32 01 01,GENERIC CAT6-PATCH,88000,,15.72,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,33 01 01,GENERIC POWER STRIP,88000,,20.11,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,34 01 01,GENERIC SCAT6-PATCH,88000,,12.6,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,35 01 01,GENERIC SPC-16-2-P,88000,,37.54,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,36 01 01,GENERIC STP6aP,88000,,72.78,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,37 01 01,GENERIC UTP6P,88000,,38.21,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,38 01 01,GENERIC UTP6P,88000,,31.5,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,39 01 01,Hosa CMR-203,88000,,8.64,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,40 01 01,Jbl Pro CONTROL 28-1-WH,88000,,547.32,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,41 01 01,Olympus ME-33 Boundary Microphone,88000,,103.13,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,42 01 01,DA-LITE 79884,88000,,"1,003.33",0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,44 01 01,GENERIC SRJ45-CBL,88000,,1.93,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,45 01 01,Labor,88000,,"8,033.25",0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026102,11/14/23,45 01 02,Labor,88000,,589.17,0,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026240,5/24/23,01 01 01,Equipment 14-302,20700,,0,0,0,"-1,111.99",11,2023
OSB,34932,"A-TOWN AV, INC.",2000026241,5/24/23,01 01 01,Equipment 14-301,20700,,0,0,0,"-3,051.61",11,2023
OSB,34932,"A-TOWN AV, INC.",2000026241,5/24/23,03 01 01,Labor 14-301,20700,,0,0,0,"-7,709.42",11,2023
OSB,34932,"A-TOWN AV, INC.",2000026243,5/24/23,01 01 01,Equipment 14-303,45000,,-822.94,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026243,5/24/23,02 01 01,Shipping 14-303,96200,,0,-0.01,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026243,5/24/23,03 01 01,Labor 14-303,45000,,-0.13,0,0,0,10,2023
OSB,34932,"A-TOWN AV, INC.",2000026332,5/15/23,01 01 01,FR7480 Install new A/V equipment HC 27-1,96200,,0,"-4,308.26",0,0,6,2023
OSB,34932,"A-TOWN AV, INC.",2000026448,5/31/23,01 01 01,Graduation Audio support,96200,,0,-750,0,0,9,2023
OSB,34932,"A-TOWN AV, INC.",2000026448,5/31/23,03 01 01,Emergency after hours support for Gradua,96200,,0,-900,0,0,9,2023
OSB,34932,"A-TOWN AV, INC.",2000026608,6/23/23,03 01 01,CO#1 Network Drops Labor per quoted date,96200,,0,"4,291.10",0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026608,6/23/23,04 01 01,CO#1 Network drops-Materials including t,96200,,0,"1,202.68",0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026608,6/23/23,05 01 01,CO#2 Video System Labor per quote Bldg 0,96200,,0,111.22,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026608,6/23/23,06 01 01,CO#2 Video Systems Materials and Tax,96200,,0,83.22,0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026608,6/23/23,07 01 01,CO#3 AV Components Labor,96200,,0,685.43,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026608,6/23/23,07 01 01,CO#3 AV Components Labor,96200,,0,-46.33,0,0,9,2023
OSB,34932,"A-TOWN AV, INC.",2000026608,6/23/23,08 01 01,CO#3 AV Components Materials including t,96200,,0,339.14,0,0,5,2023
OSB,34932,"A-TOWN AV, INC.",2000026608,6/23/23,08 01 01,CO#3 AV Components Materials including t,96200,,0,-22.93,0,0,9,2023
OSB,34932,"A-TOWN AV, INC.",2000026753,7/13/23,01 01 01,DV Sport Replay EQ for Spanos Sideline M,96200,,0,"1,792.93",0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026753,7/13/23,02 01 01,Labor for Installation of Spanos Sidelin,96200,,0,"2,564.70",0,0,2,2023
OSB,34932,"A-TOWN AV, INC.",2000026753,7/13/23,02 01 01,Labor for Installation of Spanos Sidelin,96200,,0,530.17,0,0,3,2023
OSB,34932,"A-TOWN AV, INC.",2000026884,8/31/23,01 01 01,Equipment,20700,,0,0,0,"9,108.37",2,2023
OSB,34932,"A-TOWN AV, INC.",2000026884,8/31/23,01 01 01,Equipment,20700,,0,0,0,-119.84,5,2023
